分类器,直接分类_测试准确率,PCA降维_测试准确率,准确率差异,直接分类_F1分数,PCA降维_F1分数,F1差异,直接分类_训练时间,PCA降维_训练时间,时间差异,直接分类_交叉验证,PCA降维_交叉验证
Logistic回归,0.9285714285714286,0.9047619047619048,-0.023809523809523836,0.9277419354838711,0.9042735042735043,-0.02346843121036679,0.06805896759033203,0.07661271095275879,0.008553743362426758,0.976114081996435,0.9522281639928698
决策树,0.9047619047619048,0.8809523809523809,-0.023809523809523836,0.904114205189474,0.8825640090007906,-0.02155019618868348,0.01751852035522461,0.016521692276000977,-0.0009968280792236328,0.9103386809269163,0.899108734402852
KNN,0.9047619047619048,0.9047619047619048,0.0,0.9042735042735043,0.9042735042735043,0.0,0.020000934600830078,0.018004894256591797,-0.0019960403442382812,0.9106951871657755,0.9106951871657755
朴素贝叶斯,0.8571428571428571,0.9047619047619048,0.04761904761904767,0.8564102564102564,0.9042735042735043,0.047863247863247915,0.01300358772277832,0.011512279510498047,-0.0014913082122802734,0.9106951871657755,0.9463458110516934
SVM (RBF),0.8809523809523809,0.8809523809523809,0.0,0.8795698924731183,0.8795698924731183,0.0,0.020305156707763672,0.01900005340576172,-0.0013051033020019531,0.9404634581105169,0.9406417112299466
随机森林,0.8571428571428571,0.9523809523809523,0.09523809523809523,0.8564102564102564,0.9521367521367521,0.09572649572649572,1.742405891418457,1.6998546123504639,-0.042551279067993164,0.9406417112299466,0.9344028520499108
梯度提升,0.9285714285714286,0.9285714285714286,0.0,0.9277419354838711,0.9283950617283949,0.0006531262445238495,2.3466150760650635,1.9312443733215332,-0.4153707027435303,0.9406417112299466,0.9347593582887701
